reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
1273,,Functional Geometric Monitoring for Distributed Streams,monitored stream functions distribution technique communicating results query problems assumptions performed data fgm real importance case previous provide general systems 
718,,Learning Path Queries on Graph Databases,query users learn example graphs workflow labeling paths set recent algorithms node database works schema studied related negatively regular instead 
792,,Optimizing Reformulation-based Query Answering in RDF,querying reformulations rdfs answers saturated techniques based reason engines sparql performance data space work ucq evaluate cost modeled language efficient 
1000,,The Copernicus App Lab project: Easy Access to Copernicus Data,data copernicus projects research technology information lab section developed papers knowledge service processing presents challenges application internal european dataset work 
938,,Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction,queries contender resources predictive performance executed concurrently model time plans workload available samples template results approaches cqpp latency includes data 
1112,,Attendance Maximization for Successful Social Event Planning,events organizer algorithm times assignment social user marketing ses problem great propose artist festival recently large performing restricted enjoys 
1150,,DynFD: Functional Dependency Discovery in Dynamic Datasets,data algorithm fds changes dynfd dependencies dataset functionally indexes validation sets statically exponential metadata robust cover section incremental minimal efficient 
941,,Holistic Data Profiling: Simultaneous Discovery of Various Metadata,algorithm prune ucc data fds ind muds discovery differs containing sections fun lattices profiling datasets depend uniqueness plis spider 
690,,Cohesive Keyword Search on Tree Data,keywords query cohesively lcas data resulting trees author sizes terms algorithm stacks multiple cohesivelca smith entries partitions lattices popped containing 
785,,Redoop: Supporting Recurring Queries in Hadoop,data redoop processes windows query cached pane executing hadoop file tasks inputs based partitions sections timely recurring optimizer example new 
1220,,A Tale of Two Graphs: Property Graphs as RDF in Oracle,rdfs graph edge properties queries keys bases triples perform sparql database modeled nodes quad following related storage data table differences 
1349,,"Taxi Queue, Passenger Queue or No Queue? A Queue Detection and Analysis System using Taxi State Transition",taxis queues information passengers queuing singapore urban sections commuters scale pickup events transition results detects analytics tier coordinates purchasing agencies 
1189,,Finding Contrast Patterns for Mixed Streaming Data,data patterns algorithms contrasting chips discretization identified works potentially sections needed sample group learned manufacturing exist differ features relevant users 
1374,,Efficient and Flexible Index Access in MapReduce,indexed mapreduce data efind accessed indices base users operators join use provides efficiency optimizations locations supports reduces cloud analysis section 
770,,Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP,indexes data like analytical section htap zones umzi query wildfire accessed systems storage organized transaction supported efficient stores challenge levels 
1207,,"RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases",temporal query based rdf knowledge section efficiently compression users world information evaluate provides sparql related work storage tree great approach 
1181,,Reachability Queries in Very Large Graphs: A Fast Refined Online Search Approach,graph reachable approaches feline indexing method called problems drawing work query times search relations connection structures dominance algorithm challenging management 
250,,Detecting Database File Tampering through Page Carving,databases section files index data forensics log activity detected storage security access dbms place values recorded tamper dbmses user malice 
1266,,Interactive Rule Refinement for Fraud Detection,rules transaction rudolf detect semantically algorithm news time captured cards frauds works fraudulent legitimate domains section certain changes typically 
1109,,Query-Based Why-Not Provenance with NedExplain ,data queries algorithms results tuple provenance nedexplain relation missing selection answer analysis join details based subquery compute instance price example 
1253,,Exact and Approximate Algorithms for Finding k-Shortest Paths with Limited Overlap,alternatives shortest path algorithm onepass scenario large queries prune multipass processed experimental network method user work exact length information based 
851,,COP: Planning Conflicts for Faster Parallel Transactional Machine Learning,parallelizing algorithms learning machines consistency operation execution performed planned serial transaction conflict workers setting serializable knowledge scheme requires computation cop 
987,,Reconstruction Privacy: Enabling Statistical Learning,privacy data sensitivity considering values records noise distribution engineers contribution conf methods answer example ans probability frequencies large criterion reconstructions 
783,,Maritime Data Integration and Analysis:  Recent Progress and Research Challenges,maritime data ais section systems information large recent operational trajectory forecasting integrated detect process deliberately vessel issues challenging event volumes 
1367,,Grid-Index Algorithm for Reverse Rank Queries,querying ranked scanning data algorithms section users performances phone based rrq products reverse dimensionality time figure efficiency computational costs scoring 
1255,,Spatial Data Management Challenges in the Simulation Sciences,simulating spatial computation research changes indexing modeling challenging updating analysis phenomena data scientists render brain currently query accessed systems arterial 
780,,Similarity Search on Spatio-Textual Point Sets,users similar textually algorithm set queries generalizes section points work efficiently photo matching spatio joins respectively evaluation social media databases 
1348,,Query Optimization over Cloud Data Market,data queries section accessing optimizers transaction join markets plan weather cost execution country datasets user includes like recorded given attribute 
1211,,Slowing the Firehose: Multi-Dimensional Diversity on Social Post Streams,posted user streaming social content similarity data new twitter different dimension diversifying based diversity diversification authors performed section research efficiently 
806,,Leveraging Bitmap Indexing for Subgraph Searching,queries ggsx graphs databases index cti bitmaps ftv subgraph stages time performance size sections large problems structures method molecules dataset 
703,,Scalable Public Transportation Queries on the Database,query databases label networks public vertex applications graphs section sql recent works algorithm propose answered technique ptldb makes latest solution 
1269,,Storing and Analyzing Historical Graph Data at Scale,graphs data networks tgi time stored frameworks temporal key dynamic static scalability largely scale snapshot historical information analysis subgraphs including 
1332,,Extending Cross-Domain Knowledge Bases with Long Tail Entities using Web Table Data,instances entity new knowledge tables web based exists section process cross second method descriptions schema overall identified dbpedia data figure 
1104,,Resolving XML Semantic Ambiguity,xml semantically disambiguation process node ambiguities data base context remain documents motivation section kelly meanings related method structure measure words 
1115,,In-DBMS Sampling-based Sub-trajectory Clustering,cluster trajectories sample objects mod sub dbms data patterns sections working based mobile like methods dataset detected domain implement algorithms 
1366,,Efficient Network Reliability Computation in Uncertain Graphs,graph sample networks sections technique efficiency reliability existent approaches computes edge possible problem arbitrary bdd approximate vertices accuracy bounds value 
1308,,Scalable Evaluation of k-NNQueries on Large Uncertain Graphs,queries index network tree graph node worlds decomposition functions uncertain figure proteins solution algorithms information step efficiency performance significantly 
717,,Exploiting the query structure for efficient join ordering in SPARQL queries,querying data rdf sec joins optimizing time sparql triples challenges large order algorithms high strategy statistical novel estimations applicable 
1358,,On Optimality of Jury Selection in Crowdsourcing,worker task quality juries answered strategies crowdsourced problems jsp solution votes budget based questions results optimal called algorithms figure recently 
803,,Toward Hardware-Sensitive Database Operations,database hardware performance algorithm process high modern code researchers optimal operations wall requires impact arising heat maintenance problem tailored vertical 
1127,,Learning to Rank Adaptively for Scalable Information Extraction,document extracting ranking information approach query processed factcrawl small structured tasks based usefulness collections unfortunately volcano words software keyword 
698,,An Automated System for Internet Pharmacy Verification,pharmacies health online large ingredients product times evidently tasks problems checking regulation review drug real data ones commerce figure 
682,,User-guided Repairing of Inconsistent Knowledge Bases,repairability users constraint updating dependencies base data kbs related interactions cdd example generate john value tuples queries database error rule 
881,,Distributed query-aware quantization for high-dimensional similarity searches,queries data similar distances quantizations dimensionality distribution dimension point functions index processed section interval cluster qed localized time proposed 
971,,Online Set Selection with Fairness and Diversity Constraints,diverse algorithm problem settings scores selecting data fairness online groups usually quality range technical related constraints item individual 
1272,,"MinoanER: Schema-Agnostic, Non-Iterative, Massively Parallel Resolution of Web Entities",entity data matches similarities minoaner differences kbs source based description block schema relational value ranking variety pair identified figure attributes 
1165,,Discovering Recurring Patterns in Time Series,periodically pattern sections mining data recurring time series web finding efficient events application related regular temporal items cyclic algorithms pertaining 
1350,,K-Nearest Neighbor Temporal Aggregate Queries,section query user indexing location social based data aggregate large results process nearby criteria market existing efficient applications dynamic analysis 
1097,,PStorM: Profile Storage and Matching for Feedback-Based Tuning of MapReduce Jobs,profiling job tuned executing pstorm base feature data programs information mapreduce figure matches systems different collect runtime resource reducers feedback 
1013,,Exploring Text Classification for Messy Data: An Industry Use Case for Domain-Specific Analytics,analytically data classification text errors industrial process quality usefulness business domain human large support automatically information research manufacturing chapter knowledge 
1286,,Optimizing Selection Processing for Encrypted Database using Past Result Knowledge Base,prkb encryption data selections queries process database related based information comparison plain past services dba systems compared cost edbms tuple 
1202,,Estimating Data Integration and Cleaning Effort,integrate data estimated effort problem section requirements sources human cleaning tools databases complex solutions target cost value generality schema configurability 
866,,Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms,queries algorithm graphs isomorphism subgraph parallelism performance problem novel discoveries analysis experimentation largely methods testing time matching related framework existence 
1242,,A Selectivity based approach to Continuous Pattern Detection in Streaming Graphs,querying graph streams networks subgraphs data edge patterns attack time continuously selects processing cyber security periodically match searching traffic social 
776,,Task-Optimized Group Search for Social Internet of Things,siot social sections problems management tasks algorithms bound objective user communication trust group based robustness accuracy reliability different study 
1175,,Data Ingestion in AsterixDB,data user sources feed persistent ingesting multiple required scalable application popular managed differently elasticity storage offers component continuously processed challenges 
722,,Buddy Instance - A Mechanism for Increasing Availability  in Shared-Disk Clusters,databases instances recovery caches clustered rac node performs applications available failures share systems changes oracle consistent files time reduces multiple 
1122,,Context-aware Event Stream Analytics,contexts events query applications traffic process windows modeling cars streaming caesar optimized execution complex computations times technology avoid continuously road 
826,,Graph Analytics on Massive Collections of Small Graphs,graphs related data manage querying application node database stores technology process measures generic naturally record framework user indexing popular materialized 
1045,,Efficient Secure k-Nearest Neighbours over Encrypted Data,data clouds learn computations security results homomorphic client encryption dataset solutions information patterns different sensitivity algorithmic query protocols work card 
1278,,Global-Scale Placement of Transactional Data Stores,transactions latency datacenter data placements applicable gplacer consistent protocols different section replicates wan cost lessons optimal provide average figure access 
1324,,Counting Edges with Target Labels in Online Social Networks via RandomWalk,section labeled graph spanish sampling user algorithms information extensive node edge estimator corresponding real based property kong marketing triangle walk 
1231,,Using Object-Awareness to Optimize Join Processing in the SAP HANA Aggregate Cache,data aggregating query performance application tables base cached main joining delta analytics pruning imdb workload processing enterprise consistent hardware 
907,,Identifying User Interests within the Data Space - a Case Study with SkyServer,query database area users data accessing researchers objective space scientific identify interested specobjall actually subspace examples section abstraction results new 
815,,Identifying and Describing Streets of Interest,street poi informative section textual photo soi problems based works networks source shop setting large differ important connected length density 
1081,,Efficient Processing of Hamming-Distance-Based Similarity-Search Queries Over MapReduce,distances data hamming searches indexes section query similar dataset mapreduce uses multiple approach based hash binary scan web range 
1318,,ID Repair for Trajectories with Transition Graphs,repairing examples graph trajectory algorithm methods objects values multiple record captured surveillance datasets constraint errors generate problems approach traffic recognition 
985,,Efficient Skyline Computation in MapReduce,skylines mapreduce section data algorithm tuple partition based parallelize settings parts work query reducers existing efficiency local dominates following difficulty 
874,,Big Data Analytics for Time Critical Maritime and Aerial Mobility Forecasting,data analytic sections operational trajectories forecast datacron maritime challenges managing improved time areas planned predict providing event vessels air 
1258,,Data-driven Schema Normalization,normalized fds related data schema automatically key algorithmically constraint bcnf dataset violation postcode decrease functionally step efficiency manually selected 
1096,,Parallel Array-Based Single- and Multi-Source Breadth First Searches on Large Dense Graphs,graph bfs algorithm sources multi parallelized single central memory based large working communities numa limitations important machines computation scale 
1298,,Efficient Parallel Spatial Skyline Evaluation Using MapReduce,skylines data spatially mapreduce parallelize based function query objects applicable point solutions phase datasets databases evaluate independence index convex method 
960,,Indexing Query Graphs to Speedup Graph Query Processing,graph queries chemical data subgraphs igq compound dataset performance processing systems protein manage network supergraph index storing applications informally 
830,,Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis],users recommender models microblogs based follower information post parameter content platforms twitter section provides representation real weibo resulting experimental novel 
1056,,Efficient Computation of Containment and Complementarity in RDF Data Cubes,data observation multidimensional different rdf dataset relationship cube dimension section contain measure olap computing performed information providing enabling skyline 
1159,,A Six-dimensional Analysis of In-memory Aggregation,aggregates querying dimension performs algorithm distributions data based datasets keys implementation recently study database memory categories skewed diferent functions extensively 
903,,Talking To The Database In A Semantically Rich Way,databases applications developer data performance coding ways designed program logic related tools query rewriting method approach methodology results objects processing 
816,,Scalable Parallelization of RDF Joins on Multicore Architectures,data rdf querying systems approach graph parallelize join based memory process storage triple subjects partitions related execution result methods modeling 
836,,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales,diffusion network infection inference probabilistically modeling cormin scale influenza state data times spreads estimate node exist methods collective better performance 
956,,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC,graphs computational venus data algorithms models vertex performance processes large based new disk memory edges systems ssd scaling loading sequential 
804,,Understanding Computer Usage Evolution ,users usage pattern designers evolution productivity segmentation current time factors inform future computers provides work differences level section protos changes 
993,,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space,queries predictions searchlight object continuously located section presented times modeling spaces based enabling propose processing context extensive managers cars versus 
766,,On Historical Diagnosis of Sensor Streams,sensor historical data stream levels method recently querying aggregate specific storage arbitrary time node simultaneously large detailed monitoring effective values 
958,,Conflict-Aware Event-Participant Arrangement,events user conflicting problems arrangements approximation capacities attribute participants example algorithm organizers social usually globally sport pruning geacc group existing 
1274,,Entity Resolution with Crowd Errors,record human algorithms error question entities scc approach evidence example quality answers ask selects clusters results pair era processing likelihood 
1356,,Real Time Personalized Search on Social Networks,network social searching user distances time query result snp partition large real dimension challenge solutions update efficiency index characteristics 
1145,,LLAMA: Efficient Graph Analytics Using Large Multiversioned Arrays,graphs llama memory systems data section parallel representations analytic array csr performance efforts large research case snapshot outperforms main analysis 
1203,,Efficient Sample Generation for Scalable Meta Learning,sampling data distributed learning generating model blocked supported efficiency parallel algorithm meta machines challenging partitioned scalability section random required typically 
1213,,Fine-Grained Controversy Detection in Wikipedia,controversial wikipedia edited content data user informed known collaboration identified technique history natural fine page results israeli document issue quality 
1025,,Temporal Spatial-Keyword Top-k Publish/Subscribe,queries spatial tweet object resulting approach new user based texts published region location social processed specify geo relevance example information 
988,,False Rumors Detection on Sina Weibo by Propagation Structures,messages rumor features skin false propagation weibo reposts people information cause detecting gets social number doctor human spreading structure nuclear 
825,,Nearest Neighborhood Search in Spatial Databases,nearest query cluster problems algorithms point locations mobile solution spatial data based answering experimental particular regions knn process databases given 
1289,,STREAMCUBE: Hierarchical Spatio-temporal Hashtag Clustering for Event Exploration over the Twitter Stream,events tweets data time user hashtags twitter different space efficient cluster region granularity stream explore new streamcube section social results 
1191,,On Random Walk Based Graph Sampling,algorithm sample random graphs gmd based estimation walks extensive techniques nodes degree generated networking method authors reject large uniform 
1315,,Querying K-Truss Community in Large and Dynamic Graphs,communities graph algorithm query networks index structure edge searching efficiently extensive online social models trussness insertion region connectivity given 
734,,Mining Maximal Cliques from an Uncertain Graph,graphs clique algorithms network problem maximality enumeration mining cases probabilities search different finding possible communications definition presented includes related work 
1245,,Scalable SimRank Join Algorithm,simrank algorithms graph problems computations similar pair network join pages web time scalability linked phase detection large real thresholding 
843,,Privacy-Aware Dynamic Feature Selection,data privacy information selecting applicants classification features prediction accessing minimizes audits processing service based clients server work dynamically credit learns 
1368,,Conservative or Liberal? Personalized Differential Privacy,privacy data differentially personal mechanism pdp level individual user aggregates utility allowing option significantly importance provides procedure randomness approach group 
1336,,Preserving Privacy in Social Networks Against Connection Fingerprint Attacks,users social attack network anonymize cfps publicity vertex vertices informally utility privacy account bbc comprehensive section media related private work 
1293,,Short Text Understanding Through Lexical-Semantic Analysis,semantically texts traditional types approach segments short understand knowledge april real song hotel adjective example tag sufficient similarly contexts concepts 
1206,,Differentially Private Frequent Sequence Mining via Sampling-based Candidate Pruning,sequences frequently differential privacy mining algorithms based effective privately candidate frequencies generality high data noise prune fsm threshold considerably results 
1163,,LDV: Light-weight Database Virtualization,application shared packages data virtual method user ldv requirements repeated computations reproducibility current companion binaries approaches consider licensing runs 
1378,,PIE: Approximate Interleaving Event Matching over Sequences ,events matches ordering data differences processed interleave algorithms complexity web time parallel approximate pattern queries program denotes sequenced semantics timestamp 
1059,,Bi-temporal Timeline Index: A Data Structure for Processing Queries on Bi-temporal Data,temporal data indexes applicable performed times query memory databases dimension specifically based different strong operators covering values section structured domain 
1042,,Automatic Tuning of Bag-of-Tasks Applications,aplug task application computes executing section cpu resource typically users speedup decompositions example utility parallelism vinalc core sequence number efficiencies 
972,,"Multicore Triangle Computations Without Tuning Julian Shun1, Kanat Tangwongsan2",parallelization algorithm graph caches triangles memory machines performed multicores networks complexity computes work represent tune efficiency directed fast uses distributed 
1066,,Meaningful Keyword Search in Relational Databases with Large and Complex Schema,relevant trees answers keywords schemas companies relation database customers queries user important information arden measured meaningfulness model status evaluation minimality 
1360,,Quick-Motif: An Efficient and Scalable Framework for Exact Motif Discovery,motifs methods discovery subsequence pairs sequences time levels dataset fast correlation technique pruning framework cost algorithm processing unpromising quick work 
735,,Hierarchical In-Network Attribute Compression via Importance Sampling,networks nodes compressed value slices real samples regions relevant attributes traffic speed problem time approximation figures locations errors similarly data 
873,,Piecewise Linear Approximation of Streaming Time Series Data with Max-error Guarantees,plas data problems errors works algorithms optimizes case segment continuous space use processed record time knots disjoint online extensive require 
1190,,Dish Comment Summarization Based on Bilateral Topic Analysis,comments dishes restaurants topics opinionated modeling analysis section general data new algorithm texts summarized summary scores based techniques usually difference 
1277,,A Comparison of Adaptive Radix Trees and Hash Tables,hashing data art indexing memory high keys considered cache covered tree like new efficiency experiments function performance structure experimental quadratic 
723,,PerfAugur: Robust Diagnostics for Performance,anomaly services perform data changing points detects distribution computation resulting failure life approaches based set involved robustness mining possible example 
1029,,Efficient Metric Indexing for Similarity Search ,similar methods efficiently pivots costs section tree objective data metrics index based storage image queries application accesses distances bound algorithm 
787,,Window-Chained Longest Common Subsequence:  Common Event Matching in Sequences,windows match sequence events examples timing common algorithm section sensors logged longest insulin patient efficiency price activity meal hour 
885,,Towards a Parameter-Free and Parallel Itemset Mining Algorithm in Linearithmic Time,data algorithmic pattern set similarity mining scalability scaling approaches frequent theoretical compressed itemsets complex support include research time efficiency min 
924,,Seamlessly Integrating Disk and Tape in a Multi-tiered Distributed File System,data tapes storage files tiering disks accessible ltfs metadata gpfs cartridge capacities workings high glufs way enterprise sections filesystems multiple 
974,,Robust Clustering of Multi-type Relational Data via a Heterogeneous Manifold Ensemble,clusters data method objective learned manifolds information hocc relationships graph multiple types relations matrix neighbour based rhchme ensemble feature high 
786,,Diversified Caching for Replicated Web Search Engines,queries caches server section search replicating term high documents engine intuitive process posting architectures ttotal inverted different costs experimental existing 
1024,,Groupwise Analytics via Adaptive MapReduce,data query garam group mapreduce important record resulting analytical shuffle sampling process times synopsis small groupwise approximation based gsva coordinating 
800,,Dynamic Physiological Partitioning on a Shared-Nothing Database Cluster,energy partition dynamically nodes clusters data processing performing utilization database server workload hardware power storage benchmark based efficiency level 
948,,Personalized Route Recommendation using Big Trajectory Data,routing driver section trajectories different traveling data driving fuel recommendations providing personalization time efficiency considering design offer public takes experiments 
906,,Progressive Diversification for Column-based Data Exploration Platforms,data providing query diversification user pdiverse platform diversity large result costs pgreedy points sections scheme distance columns sdss quickly meaningful 
1027,,Diversified Top-K Clique Search,cliques algorithms pruning problem maximize result solutions largely section graphs search memory overlapping computation networks extensive diversified efficient candidate strategy 
1098,,The Power of Both Choices: Practical Load Balancing for Distributed Stream Processing Engines,loaded streams peis keys sources calls grouping practice choice route storm distribution processed hash pkg good partial technique computations stateful 
1195,,The Safest Path via Safe Zones ,paths algorithm distances safely graph region problems network hyperbola edge time space zone weights unsafe interests setting zero euclidean extensively 
1082,,INSURE: An Integrated Load Reduction Framework for XML Stream Processing,flushes data queries drops solutions xml streams results output optimal quality process strategy based fusion candidates problem structural resources achieving 
1321,,The DBMS ? your Big Data Sommelier,data loaded queries times index chunked process related dbms prepared effort sensor evaluate views section sommelier locality user milena datasets 
1304,,Scaling up Copy Detection,data copied value detecting techniques source differently scalable sharing text web large iterations sets section index high evidence incremental truths 
694,,Scalable Distributed Transactions across Heterogeneous Stores,transactional data access store key abstraction cloud items multi developer library called query storage application performance heterogeneous code coordination limits 
1186,,Supporting Hierarchical Data in SAP HANA,sec relations tables hierarchical structural encoding data model application language hierarchy resources research different tools custom databases stores end 
1063,,Proof Positive and Negative in Data Cleaning,data rule capitals officephn sherlock problems dependency beijing table cleaning section figure based experimental emp algorithm numbers repairing similarity examples 
916,,A Location-Aware Publish/Subscribe Framework for Parameterized Spatio-Textual Subscriptions,subscribers spatial textual subscriptions publishers prefix filtering pruning message seafood high relevancy http including section performance content 
1023,,Chronos: An Elastic Parallel Framework for Stream Benchmark Generation and Simulation,chronos general data new distributed section benchmarking parallel simulate computation model correlation workload sampling database streams synchronized temporal related tuple 
769,,Cleaning Uncertain Data with a Noisy Crowd,data answer hits human uncertain crowdsourced questions values probabilities tuple solution naturally information optimal incorrect new crowds clean number multiple 
1093,,Configurable Hardware-based Streaming Architecture using Online Programmable-Blocks,data processor queries memory performance processed complexity streams operating hardware designing architecture based block instructions unit configuration logic limiting statically 
893,,Making Sense of Trajectory Data: A Partition-and-Summarization Approach,trajectories semantic travels texts summarize features gps speed major phases infractions important mining data technology works generate partitioning significant behaviour 
1077,,Linear Path Skylines in Multicriteria Networks,paths costs computations network linear resulting skyline different algorithms settings optimization method application lsch query new processed type nodes conventional 
922,,HaTen2: Billion-scale Tensor Decompositions,tensors haten decomposition real data networks scalability source scale timestamp times distributed exabytes related main computational method algorithm factors 
1267,,A General Graph-based Model for Recommendation in Event-based Social Networks,user events recommended modeled group based method social graphs learn multiple tag parameters network information proximity separately sports problem better 
981,,SAR: A Sentiment-Aspect-Region Model for User Preference Analysis in Geo-tagged Reviews,models aspects users topic regions review preferences like taste section second recommend level poi street methods sentiments words based restaurant 
1344,,Efficient and scalable trie-based algorithms for computing set containment relations,setting joined algorithm data signatures trie dating memory contain solutions hardware domain extensive users relation inverted efficiently optimization example 
1142,,Ranking Candidate Networks of Relations to Improve Keyword Search over Relational Databases,queries systems based ranked keywords algorithms database network section cns candidate experimentally schema results called relevance process models answer 
1306,,AP-Tree: Efficiently Support Continuous Spatial-Keyword Queries Over Stream,query spatial indexed efficiency keywords textual based technique location partition streams adaptiveness tree continuously algorithms methods filtering shops approaches containing 
1305,,Online Frequent Episode Mining,data episodes mining event frequencies fem time trade based section frequent equipment occurrences hft method efficiency usually drastically operational finance 
1107,,Result Selection and Summarization for Web Table Search,tables data sections searching web information structure selects user results technique requirements effectiveness tuples presented problems efficient heuristic goodness clustering 
1325,,Growing the Charging Station Network for Electric Vehicles with Trajectory Data Analytics,charging stations electricity optimization times section increasing data deploying problem average utilization vehicle existing new deployable total large cars 
947,,Bounded Quadrant System: Error-bounded Trajectory Compression on the Go,trajectories compress bounds data online error computational algorithms tracking high operate fox complexity stream achieves provided version points methods 
732,,Bump hunting in the dark: Local discrepancy maximization on graphs,graph node similar discrepancy discover subgraph algorithm non twitter problem social connections possible sections functions accessing model query transparent work 
887,,Multi-Constrained Graph Pattern Matching in Large-Scale Contextual Social Graphs,social graphs gpm simulations based matches edge travel efficiently example section sscs patterns management related fig defined finds algorithms bounded 
1057,,Dynamic Programming: The Next Step,inner join sec group paper equivalences dynamic step plan space commercial point reorderings experimental results placement optimality pruning feasible 
878,,Generating Reading Orders over Document Collections,documentation topical generate ordering read organization researchers user trees specificity searching different nodes method interface relationships similar ranked define contents 
952,,A Hybrid Private Record Linkage Scheme: Separating Differentially Private Synopses From Matching Records,private records protocol linkage differential party securely smc experimental data subset synopses matching hybrid scheme expensive framework dataset remains partitioning 
692,,SpatialHadoop: A MapReduce Framework for Spatial Data,spatial spatialhadoop data hadoop indexing layers program supported mapreduce level parallel performance range sections language dataset statement experiments extensively distributions 
730,,Cache-Oblivious Scheduling of Shared Workloads,data cached view optimized workload orderings example sharing problems common task algorithms warehouses schedule efficiency dsw precedence hierarchies fig 
1376,,Asymmetric Structure-Preserving Subgraph Queries for Large Graphs,querying graph subgraphs structural data privacy sec networking recently services candidate social preserved research crimes private neighborhood based encoding mapping 
1119,,Identifying Users in Social Networks with Limited Information,twitter matching nodes user graphs limitations api information social section possibly recorded network accuracy differently resources crawl duplicate google journalists 
1246,,DiSCern: A Diversified Citation Recommendation System for Scientific Queries,citations recommendations discern article network query keyword based researchers algorithm scientific search information publication findings paper approach walk time relevance 
1016,,Answering Why-Not Questions on Spatial Keyword Top-k Queries,querying object results ranking section algorithms cafes based keywords missing spatial including geometric work users early studies spj problem extensive 
1180,,Smooth Scan: Statistics-Oblivious Access Paths,performing operate queries scan statistical optimal data selectivity execution difference access path environment smooth estimates robustness plan index changing 
1299,,Network Motif Discovery: A GPU Approach,networks computational gpus subgraph graphs technique solution based existing times efficient costs phase important cpu frequencies challenges sections enumerate 
1146,,Time Dependent Transportation Network Models,times networks data modeling speed like better attribute accurately sections route dependent database areas customer including related restriction costs connectivity 
831,,Query-Time Record Linkage and Fusion over Web Databases,queries records cache data orlf time indexing section efficiently differently technique web online answering fusion clean sets database fig 
1219,,DualTable: A Hybrid Storage Model for Update Optimization in Hive,data hive storage updates operation supporting efficiency process read dualtable querying performance level current grid base smart application provides statistical 
712,,Efficient Secure Similarity Computation on Encrypted Trajectory Data,data queries security protocol trajectories computes time section include distance specially encryption works conditional efficiently recent similarity spatiotemporal required processed 
889,,Executing Queries over Schemaless RDF Databases,query workload rdf systems representations physically data performs clusters indexing evaluations web genericity group fig sparql fixed based new techniques 
1340,,ChronoStream: Elastic Stateful Stream Computation in the Cloud,computations states chronostream workload streaming resources elasticity node task applications transparently achieved cluster scale require section environment supports large migration 
961,,Finding Top-k Local Users in Geo-Tagged Social Media Data,social queries real tweet twitter user locations searching section keyword information spatial local relevance data geo works indexing rank popularity 
1043,,Comprehensive and Reliable Crowd Assessment Algorithms,worker tasks confident data estimating errors working section makes technique standard performance response set regular quality crowdsourced real likely scenario 
802,,High Performance Temporal Indexing on Modern Hardware,time data versions pages llama performing historical splits migrates indexes transactions useful temporal storage database moving structuring functionality space 
683,,Fast Approximate Correlation for Massive Time-series Data,data correlated algorithm computational queries signal times application approximates uses batch efficient monitors provides streams massive large typical exact memory 
1124,,Jigsaw: Efficient Optimization Over Uncertain Enterprise Data,jigsaw parameters functionality simulate scenario database data business model time examples tools pdb systems optimizations efficiency useful monte challenge query 
688,,Feeding Frenzy: Selectively Materializing Users¡¯ Event Feeds,events feed user following materialize like strategies problems scales resulting databases load views perform recent rate fanouts workload consumer provides 
