reviewer_orcid,reviewer_title,reviewer_title_doi,reviewer_diligency,reviewer_available
1165,Discovering Recurring Patterns in Time Series,,1,2
1350,K-Nearest Neighbor Temporal Aggregate Queries,,0,3
1097,PStorM: Profile Storage and Matching for Feedback-Based Tuning of MapReduce Jobs,,1,1
1013,Exploring Text Classification for Messy Data: An Industry Use Case for Domain-Specific Analytics,,0,2
1286,Optimizing Selection Processing for Encrypted Database using Past Result Knowledge Base,,1,3
1202,Estimating Data Integration and Cleaning Effort,,1,2
866,Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms,,0,3
1242,A Selectivity based approach to Continuous Pattern Detection in Streaming Graphs,,1,1
776,Task-Optimized Group Search for Social Internet of Things,,0,2
1175,Data Ingestion in AsterixDB,,1,3
722,Buddy Instance - A Mechanism for Increasing Availability  in Shared-Disk Clusters,,0,1
1122,Context-aware Event Stream Analytics,,1,2
826,Graph Analytics on Massive Collections of Small Graphs,,0,3
1045,Efficient Secure k-Nearest Neighbours over Encrypted Data,,0,2
1278,Global-Scale Placement of Transactional Data Stores,,1,3
1324,Counting Edges with Target Labels in Online Social Networks via RandomWalk,,0,1
1231,Using Object-Awareness to Optimize Join Processing in the SAP HANA Aggregate Cache,,1,2
907,Identifying User Interests within the Data Space - a Case Study with SkyServer,,1,1
815,Identifying and Describing Streets of Interest,,0,2
1081,Efficient Processing of Hamming-Distance-Based Similarity-Search Queries Over MapReduce,,1,3
1318,ID Repair for Trajectories with Transition Graphs,,0,1
985,Efficient Skyline Computation in MapReduce,,1,2
874,Big Data Analytics for Time Critical Maritime and Aerial Mobility Forecasting,,1,1
1258,Data-driven Schema Normalization,,0,2
1096,Parallel Array-Based Single- and Multi-Source Breadth First Searches on Large Dense Graphs,,1,3
1298,Efficient Parallel Spatial Skyline Evaluation Using MapReduce,,0,1
960,Indexing Query Graphs to Speedup Graph Query Processing,,1,2
830,Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis],,0,3
1056,Efficient Computation of Containment and Complementarity in RDF Data Cubes,,1,1
1159,A Six-dimensional Analysis of In-memory Aggregation,,0,2
903,Talking To The Database In A Semantically Rich Way,,1,3
816,Scalable Parallelization of RDF Joins on Multicore Architectures,,0,1
836,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales,,1,2
956,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC,,0,3
804,Understanding Computer Usage Evolution ,,1,1
993,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space,,0,2
766,On Historical Diagnosis of Sensor Streams,,1,3
958,Conflict-Aware Event-Participant Arrangement,,0,1
1274,Entity Resolution with Crowd Errors,,1,2
1356,Real Time Personalized Search on Social Networks,,0,3
1145,LLAMA: Efficient Graph Analytics Using Large Multiversioned Arrays,,1,1
